Station ID: Example Tester,,,,,,,
Model: Tester Model,,,,,,,
"Note: Since we have chosen to ""Scan for Tag"" in TestStand  the metadata at the top will be skipped.",,,,,,,
,,,,,,,
,,,,,,,
Group1,,,,,,,
Waveform,FREQ,Target Input Power (dBm),Target Output Power (dBm),Power Target Mode,Duty Cycle,VCC,Test Config
80211a_20M_48Mbps,2382000000,-10,-10,Output,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2382000000,-10,-10,Output,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2382000000,-10,-10,Output,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2382000000,-10,-10,Output,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2382000000,-10,-10,Output,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2382000000,-10,-10,Output,50,4.4,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2412000000,-10,-10,Output,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2412000000,-10,-10,Output,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2412000000,-10,-10,Output,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2412000000,-10,-10,Output,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2412000000,-10,-10,Output,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2412000000,-10,-10,Output,50,4.4,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2442000000,-10,-10,Output,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2442000000,-10,-10,Output,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2442000000,-10,-10,Output,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2442000000,-10,-10,Output,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2442000000,-10,-10,Output,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2442000000,-10,-10,Output,50,4.4,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2472000000,-10,-10,Output,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2472000000,-10,-10,Output,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2472000000,-10,-10,Output,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2472000000,-10,-10,Output,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2472000000,-10,-10,Output,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2472000000,-10,-10,Output,50,4.4,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2502000000,-10,-10,Output,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2502000000,-10,-10,Output,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2502000000,-10,-10,Output,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2502000000,-10,-10,Output,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2502000000,-10,-10,Output,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2502000000,-10,-10,Output,50,4.4,"Tx Power,EVM,PDET"
,,,,,,,
,,,,,,,
,,,,,,,
Group2,,,,,,,
Waveform,FREQ,Target Input Power (dBm),Target Output Power (dBm),Power Target Mode,Duty Cycle,VCC,Test Config
80211a_20M_48Mbps,2382000000,-10,0,Input,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2382000000,-10,0,Input,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2382000000,-10,0,Input,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2382000000,-10,0,Input,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2382000000,-10,0,Input,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2382000000,-10,0,Input,50,4.4,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2412000000,-10,0,Input,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2412000000,-10,0,Input,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2412000000,-10,0,Input,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2412000000,-10,0,Input,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2412000000,-10,0,Input,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2412000000,-10,0,Input,50,4.4,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2442000000,-10,0,Input,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2442000000,-10,0,Input,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2442000000,-10,0,Input,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2442000000,-10,0,Input,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2442000000,-10,0,Input,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2442000000,-10,0,Input,50,4.4,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2472000000,-10,0,Input,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2472000000,-10,0,Input,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2472000000,-10,0,Input,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2472000000,-10,0,Input,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2472000000,-10,0,Input,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2472000000,-10,0,Input,50,4.4,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2502000000,-10,0,Input,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2502000000,-10,0,Input,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2502000000,-10,0,Input,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2502000000,-10,0,Input,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2502000000,-10,0,Input,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2502000000,-10,0,Input,50,4.4,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2382000000,-10,-10,Input,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2382000000,-10,-10,Input,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2382000000,-10,-10,Input,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2382000000,-10,-10,Input,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2382000000,-10,-10,Input,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2382000000,-10,-10,Input,50,4.4,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2412000000,-10,-10,Input,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2412000000,-10,-10,Input,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2412000000,-10,-10,Input,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2412000000,-10,-10,Input,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2412000000,-10,-10,Input,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2412000000,-10,-10,Input,50,4.4,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2442000000,-10,-10,Input,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2442000000,-10,-10,Input,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2442000000,-10,-10,Input,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2442000000,-10,-10,Input,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2442000000,-10,-10,Input,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2442000000,-10,-10,Input,50,4.4,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2472000000,-10,-10,Input,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2472000000,-10,-10,Input,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2472000000,-10,-10,Input,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2472000000,-10,-10,Input,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2472000000,-10,-10,Input,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2472000000,-10,-10,Input,50,4.4,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2502000000,-10,-10,Input,50,3,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2502000000,-10,-10,Input,50,3.7,"Tx Power,EVM,PDET"
80211a_20M_48Mbps,2502000000,-10,-10,Input,50,4.4,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2502000000,-10,-10,Input,50,3,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2502000000,-10,-10,Input,50,3.7,"Tx Power,EVM,PDET"
MMC_MCS7HT20_v3,2502000000,-10,-10,Input,50,4.4,"Tx Power,EVM,PDET"
